country_name,consulting_day,coronavirus_cases,coronavirus_deaths,coronavirus_recovered
USA,2020-05-03,"1,160,774 ","67,444","173,725"
Russia,2020-05-03,"124,054 ","1,222","15,013"
UK,2020-05-03,"182,260 ","28,131",N/A
France,2020-05-03,"168,396 ","24,760","50,562"
Italy,2020-05-03,"209,328 ","28,710","79,914"
Pakistan,2020-05-03,"19,103 ",440,"4,817"
Sweden,2020-05-03,"22,082 ","2,669","1,005"
Ireland,2020-05-03,"21,176 ","1,286","13,386"
Turkey,2020-05-03,"124,375 ","3,336","58,259"
Iran,2020-05-03,"96,448 ","6,156","77,350"
Brazil,2020-05-03,"97,100 ","6,761","40,937"
Germany,2020-05-03,"164,967 ","6,812","129,000"
Portugal,2020-05-03,"25,190 ","1,023","1,671"
Saint Pierre Miquelon,2020-05-03,1 ,0,0
Comoros,2020-05-03,3 ,0,0
Saudi Arabia,2020-05-03,"25,459 ",176,"3,765"
Anguilla,2020-05-03,3 ,0,3
Spain,2020-05-03,"245,567 ","25,100","146,233"
Western Sahara,2020-05-03,6 ,0,5
St. Barth,2020-05-03,6 ,0,6
Caribbean Netherlands,2020-05-03,6 ,0,0
Bhutan,2020-05-03,7 ,0,5
Mexico,2020-05-03,"22,088 ","2,061","12,377"
Papua New Guinea,2020-05-03,8 ,0,0
China,2020-05-03,"82,877 ","4,633","77,713"
Vatican City,2020-05-03,11 ,0,2
Seychelles,2020-05-03,11 ,0,6
Yemen,2020-05-03,10 ,2,1
Montserrat,2020-05-03,11 ,1,2
British Virgin Islands,2020-05-03,6 ,1,3
Mauritania,2020-05-03,8 ,1,6
Falkland Islands,2020-05-03,13 ,0,13
Nicaragua,2020-05-03,14 ,3,7
Suriname,2020-05-03,10 ,1,8
Burundi,2020-05-03,15 ,1,7
Greenland,2020-05-03,11 ,0,11
St. Vincent Grenadines,2020-05-03,16 ,0,8
Turks and Caicos,2020-05-03,12 ,1,5
Dominica,2020-05-03,16 ,0,13
Saint Kitts and Nevis,2020-05-03,15 ,0,8
Sao Tome and Principe,2020-05-03,16 ,1,4
Namibia,2020-05-03,16 ,0,8
New Caledonia,2020-05-03,18 ,0,17
Curaçao,2020-05-03,16 ,1,13
Fiji,2020-05-03,18 ,0,14
Saint Lucia,2020-05-03,17 ,0,15
Laos,2020-05-03,19 ,0,9
Gambia,2020-05-03,17 ,1,9
Grenada,2020-05-03,21 ,0,13
Belize,2020-05-03,18 ,2,13
Botswana,2020-05-03,23 ,1,8
Antigua and Barbuda,2020-05-03,25 ,3,15
Timor-Leste,2020-05-03,24 ,0,16
Malawi,2020-05-03,38 ,3,9
Zimbabwe,2020-05-03,34 ,4,5
Mongolia,2020-05-03,39 ,0,10
Angola,2020-05-03,35 ,2,11
Saint Martin,2020-05-03,38 ,3,27
Eritrea,2020-05-03,39 ,0,26
South Sudan,2020-05-03,45 ,0,0
Macao,2020-05-03,45 ,0,37
Syria,2020-05-03,44 ,3,27
Nepal,2020-05-03,59 ,0,16
CAR,2020-05-03,72 ,0,10
Tajikistan,2020-05-03,76 ,2,0
Libya,2020-05-03,63 ,3,22
Cayman Islands,2020-05-03,74 ,1,10
Mozambique,2020-05-03,79 ,0,18
Guyana,2020-05-03,82 ,9,22
Barbados,2020-05-03,81 ,7,44
Bahamas,2020-05-03,83 ,11,24
French Polynesia,2020-05-03,58 ,0,51
Uganda,2020-05-03,88 ,0,52
Haiti,2020-05-03,85 ,8,10
Sint Maarten,2020-05-03,76 ,13,44
Liechtenstein,2020-05-03,82 ,1,55
Aruba,2020-05-03,100 ,2,81
Benin,2020-05-03,90 ,2,42
Monaco,2020-05-03,95 ,4,78
Eswatini,2020-05-03,108 ,1,12
Bermuda,2020-05-03,114 ,7,51
Cambodia,2020-05-03,122 ,0,120
Trinidad and Tobago,2020-05-03,116 ,8,88
Chad,2020-05-03,117 ,10,39
Zambia,2020-05-03,119 ,3,75
Togo,2020-05-03,123 ,9,66
Madagascar,2020-05-03,135 ,0,97
Gibraltar,2020-05-03,144 ,0,132
Ethiopia,2020-05-03,133 ,3,69
Myanmar,2020-05-03,151 ,6,37
Brunei ,2020-05-03,138 ,1,126
Guadeloupe,2020-05-03,152 ,12,95
Cabo Verde,2020-05-03,152 ,2,18
Sierra Leone,2020-05-03,155 ,8,21
Liberia,2020-05-03,154 ,18,48
Faeroe Islands,2020-05-03,187 ,0,184
Rwanda,2020-05-03,255 ,0,120
Guinea-Bissau,2020-05-03,257 ,1,19
Congo,2020-05-03,229 ,9,25
French Guiana,2020-05-03,128 ,1,98
Equatorial Guinea,2020-05-03,315 ,1,9
Isle of Man,2020-05-03,320 ,22,271
Montenegro,2020-05-03,322 ,8,245
Martinique,2020-05-03,179 ,14,83
Venezuela,2020-05-03,345 ,10,148
Palestine,2020-05-03,353 ,2,76
Mauritius,2020-05-03,332 ,10,314
Gabon,2020-05-03,335 ,5,85
Vietnam,2020-05-03,270 ,0,219
Réunion,2020-05-03,423 ,0,300
Paraguay,2020-05-03,370 ,10,119
Kenya,2020-05-03,435 ,22,152
Jordan,2020-05-03,460 ,9,367
Taiwan,2020-05-03,432 ,6,324
Tanzania,2020-05-03,480 ,16,167
Maldives,2020-05-03,519 ,1,18
Malta,2020-05-03,468 ,4,379
El Salvador,2020-05-03,446 ,11,141
Jamaica,2020-05-03,463 ,8,33
Mayotte,2020-05-03,539 ,4,235
Channel Islands,2020-05-03,543 ,41,406
Burkina Faso,2020-05-03,652 ,44,535
Somalia,2020-05-03,671 ,31,34
DRC,2020-05-03,674 ,33,75
Mali,2020-05-03,544 ,26,206
San Marino,2020-05-03,580 ,41,83
Georgia,2020-05-03,582 ,8,207
Sudan,2020-05-03,592 ,41,52
Uruguay,2020-05-03,652 ,17,440
Sri Lanka,2020-05-03,705 ,7,172
Guatemala,2020-05-03,688 ,17,72
Lebanon,2020-05-03,733 ,25,197
Costa Rica,2020-05-03,733 ,6,372
Cyprus,2020-05-03,864 ,15,296
Niger,2020-05-03,736 ,35,507
